legacy_sdr,directional_repair,same_side_residual,overcorrection,leak_recall,deletion_precision,legit_retention,introduced_distortion,n_keys,archetype,learner
"{'mean': 0.08435, 'ci_lo': 0.064905, 'ci_hi': 0.103795, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.083962}","{'mean': 0.105799, 'ci_lo': 0.090892, 'ci_hi': 0.119796, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.106709}","{'mean': -0.105799, 'ci_lo': -0.119796, 'ci_hi': -0.090892, 'P3_better_frac': 0.0, 'n_tasks': 4, 'positive_task_frac': 0.0, 'median_task': -0.106709}","{'mean': 0.021196, 'ci_lo': 0.010081, 'ci_hi': 0.032429, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.019909}","{'mean': 0.416669, 'ci_lo': 0.38914, 'ci_hi': 0.446008, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.410045}","{'mean': 0.208217, 'ci_lo': 0.19049, 'ci_hi': 0.226201, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.207959}","{'mean': 0.052214, 'ci_lo': 0.044745, 'ci_hi': 0.060998, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.0509}","{'mean': 0.000253, 'ci_lo': 9e-06, 'ci_hi': 0.000497, 'P3_better_frac': 0.98, 'n_tasks': 4, 'positive_task_frac': 0.75, 'median_task': 0.000242}",1100,drifting,LR
"{'mean': 0.107121, 'ci_lo': 0.092669, 'ci_hi': 0.125434, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.103217}","{'mean': 0.112455, 'ci_lo': 0.099617, 'ci_hi': 0.12592, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.111482}","{'mean': -0.112455, 'ci_lo': -0.12592, 'ci_hi': -0.099617, 'P3_better_frac': 0.0, 'n_tasks': 4, 'positive_task_frac': 0.0, 'median_task': -0.111482}","{'mean': 0.005263, 'ci_lo': -0.002463, 'ci_hi': 0.014089, 'P3_better_frac': 0.8322, 'n_tasks': 4, 'positive_task_frac': 0.5, 'median_task': 0.00242}","{'mean': 0.421504, 'ci_lo': 0.375572, 'ci_hi': 0.467436, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.420299}","{'mean': 0.213327, 'ci_lo': 0.199991, 'ci_hi': 0.227006, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.212918}","{'mean': 0.0535, 'ci_lo': 0.046956, 'ci_hi': 0.061499, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.052045}","{'mean': 7.1e-05, 'ci_lo': -0.000131, 'ci_hi': 0.00036, 'P3_better_frac': 0.6694, 'n_tasks': 4, 'positive_task_frac': 0.25, 'median_task': -1.6e-05}",1100,interaction,LR
"{'mean': 0.074082, 'ci_lo': 0.068113, 'ci_hi': 0.08005, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.074827}","{'mean': 0.08052, 'ci_lo': 0.072199, 'ci_hi': 0.088925, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.080436}","{'mean': -0.08052, 'ci_lo': -0.088925, 'ci_hi': -0.072199, 'P3_better_frac': 0.0, 'n_tasks': 4, 'positive_task_frac': 0.0, 'median_task': -0.080436}","{'mean': 0.006451, 'ci_lo': -0.001463, 'ci_hi': 0.016912, 'P3_better_frac': 0.9643, 'n_tasks': 4, 'positive_task_frac': 0.75, 'median_task': 0.003903}","{'mean': 0.389379, 'ci_lo': 0.28489, 'ci_hi': 0.493867, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.383265}","{'mean': 0.200317, 'ci_lo': 0.178914, 'ci_hi': 0.227719, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.194317}","{'mean': 0.050592, 'ci_lo': 0.0433, 'ci_hi': 0.057885, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.050057}","{'mean': -1.2e-05, 'ci_lo': -7.3e-05, 'ci_hi': 5.6e-05, 'P3_better_frac': 0.3504, 'n_tasks': 4, 'positive_task_frac': 0.25, 'median_task': -1.9e-05}",1100,linear,LR
"{'mean': 0.069847, 'ci_lo': 0.045082, 'ci_hi': 0.086146, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.078312}","{'mean': 0.090015, 'ci_lo': 0.064173, 'ci_hi': 0.107486, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.098384}","{'mean': -0.090015, 'ci_lo': -0.107486, 'ci_hi': -0.064173, 'P3_better_frac': 0.0, 'n_tasks': 4, 'positive_task_frac': 0.0, 'median_task': -0.098384}","{'mean': 0.020156, 'ci_lo': 0.013674, 'ci_hi': 0.029699, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.017096}","{'mean': 0.407036, 'ci_lo': 0.348667, 'ci_hi': 0.446689, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.42761}","{'mean': 0.211479, 'ci_lo': 0.186492, 'ci_hi': 0.234299, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.213645}","{'mean': 0.053187, 'ci_lo': 0.045566, 'ci_hi': 0.0603, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.055321}","{'mean': 1.2e-05, 'ci_lo': 0.0, 'ci_hi': 3.5e-05, 'P3_better_frac': 0.6815, 'n_tasks': 4, 'positive_task_frac': 0.25, 'median_task': 0.0}",1100,nonlinear,LR
"{'mean': -0.118332, 'ci_lo': -0.15972, 'ci_hi': -0.092975, 'P3_better_frac': 0.0, 'n_tasks': 4, 'positive_task_frac': 0.0, 'median_task': -0.1023}","{'mean': 0.034418, 'ci_lo': 0.026375, 'ci_hi': 0.042461, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.032271}","{'mean': -0.034418, 'ci_lo': -0.042461, 'ci_hi': -0.026375, 'P3_better_frac': 0.0, 'n_tasks': 4, 'positive_task_frac': 0.0, 'median_task': -0.032271}","{'mean': 0.151647, 'ci_lo': 0.122893, 'ci_hi': 0.188369, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.14368}","{'mean': 0.3789, 'ci_lo': 0.351608, 'ci_hi': 0.416375, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.368716}","{'mean': 0.196234, 'ci_lo': 0.170711, 'ci_hi': 0.214457, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.203535}","{'mean': 0.049421, 'ci_lo': 0.040304, 'ci_hi': 0.058165, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.049795}","{'mean': 0.001103, 'ci_lo': 0.000901, 'ci_hi': 0.001283, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.001124}",1100,sparse,LR
"{'mean': 0.0952, 'ci_lo': 0.071133, 'ci_hi': 0.119268, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.093923}","{'mean': 0.113548, 'ci_lo': 0.104625, 'ci_hi': 0.125983, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.110034}","{'mean': -0.113548, 'ci_lo': -0.125983, 'ci_hi': -0.104625, 'P3_better_frac': 0.0, 'n_tasks': 4, 'positive_task_frac': 0.0, 'median_task': -0.110034}","{'mean': 0.018302, 'ci_lo': 0.002944, 'ci_hi': 0.033817, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.013278}","{'mean': 0.416669, 'ci_lo': 0.38914, 'ci_hi': 0.446008, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.410045}","{'mean': 0.208217, 'ci_lo': 0.19049, 'ci_hi': 0.226201, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.207959}","{'mean': 0.052214, 'ci_lo': 0.044745, 'ci_hi': 0.060998, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.0509}","{'mean': 4.5e-05, 'ci_lo': 0.0, 'ci_hi': 0.000136, 'P3_better_frac': 0.6859, 'n_tasks': 4, 'positive_task_frac': 0.25, 'median_task': 0.0}",1100,drifting,RF
"{'mean': 0.106215, 'ci_lo': 0.083578, 'ci_hi': 0.128853, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.103589}","{'mean': 0.113807, 'ci_lo': 0.087062, 'ci_hi': 0.130796, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.123598}","{'mean': -0.113807, 'ci_lo': -0.130796, 'ci_hi': -0.087062, 'P3_better_frac': 0.0, 'n_tasks': 4, 'positive_task_frac': 0.0, 'median_task': -0.123598}","{'mean': 0.007591, 'ci_lo': -0.00517, 'ci_hi': 0.026001, 'P3_better_frac': 0.8017, 'n_tasks': 4, 'positive_task_frac': 0.5, 'median_task': 0.001944}","{'mean': 0.421504, 'ci_lo': 0.375572, 'ci_hi': 0.467436, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.420299}","{'mean': 0.213327, 'ci_lo': 0.199991, 'ci_hi': 0.227006, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.212918}","{'mean': 0.0535, 'ci_lo': 0.046956, 'ci_hi': 0.061499, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.052045}","{'mean': 0.0, 'ci_lo': 0.0, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 4, 'positive_task_frac': 0.0, 'median_task': 0.0}",1100,interaction,RF
"{'mean': 0.087532, 'ci_lo': 0.083267, 'ci_hi': 0.092581, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.086748}","{'mean': 0.094375, 'ci_lo': 0.083115, 'ci_hi': 0.106317, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.092657}","{'mean': -0.094375, 'ci_lo': -0.106317, 'ci_hi': -0.083115, 'P3_better_frac': 0.0, 'n_tasks': 4, 'positive_task_frac': 0.0, 'median_task': -0.092657}","{'mean': 0.006829, 'ci_lo': -0.000831, 'ci_hi': 0.014488, 'P3_better_frac': 0.9593, 'n_tasks': 4, 'positive_task_frac': 0.75, 'median_task': 0.00591}","{'mean': 0.389379, 'ci_lo': 0.28489, 'ci_hi': 0.493867, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.383265}","{'mean': 0.200317, 'ci_lo': 0.178914, 'ci_hi': 0.227719, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.194317}","{'mean': 0.050592, 'ci_lo': 0.0433, 'ci_hi': 0.057885, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.050057}","{'mean': 1.4e-05, 'ci_lo': 0.0, 'ci_hi': 4.2e-05, 'P3_better_frac': 0.6859, 'n_tasks': 4, 'positive_task_frac': 0.25, 'median_task': 0.0}",1100,linear,RF
"{'mean': 0.052532, 'ci_lo': 0.043299, 'ci_hi': 0.061764, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.050479}","{'mean': 0.091546, 'ci_lo': 0.0635, 'ci_hi': 0.110011, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.101126}","{'mean': -0.091546, 'ci_lo': -0.110011, 'ci_hi': -0.0635, 'P3_better_frac': 0.0, 'n_tasks': 4, 'positive_task_frac': 0.0, 'median_task': -0.101126}","{'mean': 0.039014, 'ci_lo': 0.016463, 'ci_hi': 0.061217, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.039362}","{'mean': 0.407036, 'ci_lo': 0.348667, 'ci_hi': 0.446689, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.42761}","{'mean': 0.211479, 'ci_lo': 0.186492, 'ci_hi': 0.234299, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.213645}","{'mean': 0.053187, 'ci_lo': 0.045566, 'ci_hi': 0.0603, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.055321}","{'mean': 0.0, 'ci_lo': 0.0, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 4, 'positive_task_frac': 0.0, 'median_task': 0.0}",1100,nonlinear,RF
"{'mean': -0.067759, 'ci_lo': -0.083011, 'ci_hi': -0.044028, 'P3_better_frac': 0.0, 'n_tasks': 4, 'positive_task_frac': 0.0, 'median_task': -0.078393}","{'mean': 0.068735, 'ci_lo': 0.06203, 'ci_hi': 0.076309, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.067866}","{'mean': -0.068735, 'ci_lo': -0.076309, 'ci_hi': -0.06203, 'P3_better_frac': 0.0, 'n_tasks': 4, 'positive_task_frac': 0.0, 'median_task': -0.067866}","{'mean': 0.136494, 'ci_lo': 0.112771, 'ci_hi': 0.151508, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.14592}","{'mean': 0.3789, 'ci_lo': 0.351608, 'ci_hi': 0.416375, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.368716}","{'mean': 0.196234, 'ci_lo': 0.170711, 'ci_hi': 0.214457, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.203535}","{'mean': 0.049421, 'ci_lo': 0.040304, 'ci_hi': 0.058165, 'P3_better_frac': 1.0, 'n_tasks': 4, 'positive_task_frac': 1.0, 'median_task': 0.049795}","{'mean': 0.0, 'ci_lo': 0.0, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 4, 'positive_task_frac': 0.0, 'median_task': 0.0}",1100,sparse,RF
