task_variant_id,protocol_version,study_namespace,dataset_namespace,dataset_index,dataset_id,dataset_seed,archetype,base_task_sha256,mechanism,mechanism_family,strength,strength_value,seed,model_ids,expected_model_cells,config_sha256,bundle_key,task_hash,split_hash,n_samples,n_original,n_injected,n_leak,diagnostic_ap,diagnostic_normalized_ap,top5_recall,diagnostic_status,bundle_path,bundle_sha256
a86e75c751173f520fca,structured_prior_replacement_v1,structured_prior_replacement_v1,confirmatory,0,panel_00,20260713,linear,2def68e84f31586c967829866a2e4ad989e6807c54dfe224361b376741056ea5,M04,structured_replacement,S1,0.2,13,lr|rf|catboost|lightgbm|tabm,5,efc01fc1f21b12e9a32b010e6bd8f5bf355e7c69e68b30e1aa463d9ed792bd96,a86e75c751173f520fca,6c8285d3cf1ee2d51f5cc6afb0fa1b7fd690c48b7867e3ec382f9c3ba15de348,df9f68aa8110a0236c495afe49b9d992b4f1de2e38a4d4bdc459eef07ae2ff77,1000,12,1,1,,,,NOT_COMPUTED_PRE_RUN,results/structured_prior_replacement_v1/task_bundles/panel_00.npz,2a764a00f2e75d2e982fca558d96bd9e83e6a7e546e414c1e625f54b92638a69
d6a493ceb74f10d81768,structured_prior_replacement_v1,structured_prior_replacement_v1,confirmatory,0,panel_00,20260713,linear,2def68e84f31586c967829866a2e4ad989e6807c54dfe224361b376741056ea5,M04,structured_replacement,S1,0.2,42,lr|rf|catboost|lightgbm|tabm,5,efc01fc1f21b12e9a32b010e6bd8f5bf355e7c69e68b30e1aa463d9ed792bd96,d6a493ceb74f10d81768,534cf0805d5d44e93c3c7c207b3b3a3b111be5bf30cda5d6f74ad2cf7f5a6325,df9f68aa8110a0236c495afe49b9d992b4f1de2e38a4d4bdc459eef07ae2ff77,1000,12,1,1,,,,NOT_COMPUTED_PRE_RUN,results/structured_prior_replacement_v1/task_bundles/panel_00.npz,2a764a00f2e75d2e982fca558d96bd9e83e6a7e546e414c1e625f54b92638a69
29d6972a6892aac85662,structured_prior_replacement_v1,structured_prior_replacement_v1,confirmatory,0,panel_00,20260713,linear,2def68e84f31586c967829866a2e4ad989e6807c54dfe224361b376741056ea5,M04,structured_replacement,S1,0.2,2026,lr|rf|catboost|lightgbm|tabm,5,efc01fc1f21b12e9a32b010e6bd8f5bf355e7c69e68b30e1aa463d9ed792bd96,29d6972a6892aac85662,13088033797735eacea385d4097d8c4d4b03a42a3cb3139407e2b6666ef49093,df9f68aa8110a0236c495afe49b9d992b4f1de2e38a4d4bdc459eef07ae2ff77,1000,12,1,1,,,,NOT_COMPUTED_PRE_RUN,results/structured_prior_replacement_v1/task_bundles/panel_00.npz,2a764a00f2e75d2e982fca558d96bd9e83e6a7e546e414c1e625f54b92638a69
d95d41332d30c627b153,structured_prior_replacement_v1,structured_prior_replacement_v1,confirmatory,0,panel_00,20260713,linear,2def68e84f31586c967829866a2e4ad989e6807c54dfe224361b376741056ea5,M04,structured_replacement,S1,0.2,3407,lr|rf|catboost|lightgbm|tabm,5,efc01fc1f21b12e9a32b010e6bd8f5bf355e7c69e68b30e1aa463d9ed792bd96,d95d41332d30c627b153,1c660fb67528ac1862a94b14c6d54682bd569376313bc711daf782c0b05c41c4,df9f68aa8110a0236c495afe49b9d992b4f1de2e38a4d4bdc459eef07ae2ff77,1000,12,1,1,,,,NOT_COMPUTED_PRE_RUN,results/structured_prior_replacement_v1/task_bundles/panel_00.npz,2a764a00f2e75d2e982fca558d96bd9e83e6a7e546e414c1e625f54b92638a69
931f7f7e6b45ad663781,structured_prior_replacement_v1,structured_prior_replacement_v1,confirmatory,0,panel_00,20260713,linear,2def68e84f31586c967829866a2e4ad989e6807c54dfe224361b376741056ea5,M04,structured_replacement,S1,0.2,7777,lr|rf|catboost|lightgbm|tabm,5,efc01fc1f21b12e9a32b010e6bd8f5bf355e7c69e68b30e1aa463d9ed792bd96,931f7f7e6b45ad663781,e3b0e55d85f04a535fc157aef2639ba492642275c25d7863f0b50305335756d4,df9f68aa8110a0236c495afe49b9d992b4f1de2e38a4d4bdc459eef07ae2ff77,1000,12,1,1,,,,NOT_COMPUTED_PRE_RUN,results/structured_prior_replacement_v1/task_bundles/panel_00.npz,2a764a00f2e75d2e982fca558d96bd9e83e6a7e546e414c1e625f54b92638a69
34176d2655d3ebbe54f3,structured_prior_replacement_v1,structured_prior_replacement_v1,confirmatory,0,panel_00,20260713,linear,2def68e84f31586c967829866a2e4ad989e6807c54dfe224361b376741056ea5,M04,structured_replacement,S2,0.4,13,lr|rf|catboost|lightgbm|tabm,5,efc01fc1f21b12e9a32b010e6bd8f5bf355e7c69e68b30e1aa463d9ed792bd96,34176d2655d3ebbe54f3,4fbcf5b54fd4be264820a7fa482bfd76e82ea869ec05cb5f27a12aeb2dce7593,df9f68aa8110a0236c495afe49b9d992b4f1de2e38a4d4bdc459eef07ae2ff77,1000,12,1,1,,,,NOT_COMPUTED_PRE_RUN,results/structured_prior_replacement_v1/task_bundles/panel_00.npz,2a764a00f2e75d2e982fca558d96bd9e83e6a7e546e414c1e625f54b92638a69
a23078fcaa5075640ed6,structured_prior_replacement_v1,structured_prior_replacement_v1,confirmatory,0,panel_00,20260713,linear,2def68e84f31586c967829866a2e4ad989e6807c54dfe224361b376741056ea5,M04,structured_replacement,S2,0.4,42,lr|rf|catboost|lightgbm|tabm,5,efc01fc1f21b12e9a32b010e6bd8f5bf355e7c69e68b30e1aa463d9ed792bd96,a23078fcaa5075640ed6,706c27504aa6078913fe014a23ffd0bb7c663dfed00c9d77b618d7668cdb268b,df9f68aa8110a0236c495afe49b9d992b4f1de2e38a4d4bdc459eef07ae2ff77,1000,12,1,1,,,,NOT_COMPUTED_PRE_RUN,results/structured_prior_replacement_v1/task_bundles/panel_00.npz,2a764a00f2e75d2e982fca558d96bd9e83e6a7e546e414c1e625f54b92638a69
5135ead3fdf49f9feb44,structured_prior_replacement_v1,structured_prior_replacement_v1,confirmatory,0,panel_00,20260713,linear,2def68e84f31586c967829866a2e4ad989e6807c54dfe224361b376741056ea5,M04,structured_replacement,S2,0.4,2026,lr|rf|catboost|lightgbm|tabm,5,efc01fc1f21b12e9a32b010e6bd8f5bf355e7c69e68b30e1aa463d9ed792bd96,5135ead3fdf49f9feb44,2053f50add90fc9ebd7880171cefebeaa42f058a39c5479e88ba175ba8a47675,df9f68aa8110a0236c495afe49b9d992b4f1de2e38a4d4bdc459eef07ae2ff77,1000,12,1,1,,,,NOT_COMPUTED_PRE_RUN,results/structured_prior_replacement_v1/task_bundles/panel_00.npz,2a764a00f2e75d2e982fca558d96bd9e83e6a7e546e414c1e625f54b92638a69
50f38e44e97c228ba4eb,structured_prior_replacement_v1,structured_prior_replacement_v1,confirmatory,0,panel_00,20260713,linear,2def68e84f31586c967829866a2e4ad989e6807c54dfe224361b376741056ea5,M04,structured_replacement,S2,0.4,3407,lr|rf|catboost|lightgbm|tabm,5,efc01fc1f21b12e9a32b010e6bd8f5bf355e7c69e68b30e1aa463d9ed792bd96,50f38e44e97c228ba4eb,276ba0dbbc5c37623f760df126dcb895fa4a32124e2ebeeb3dd0735f9c14589a,df9f68aa8110a0236c495afe49b9d992b4f1de2e38a4d4bdc459eef07ae2ff77,1000,12,1,1,,,,NOT_COMPUTED_PRE_RUN,results/structured_prior_replacement_v1/task_bundles/panel_00.npz,2a764a00f2e75d2e982fca558d96bd9e83e6a7e546e414c1e625f54b92638a69
953904f7ab3f8c850ff3,structured_prior_replacement_v1,structured_prior_replacement_v1,confirmatory,0,panel_00,20260713,linear,2def68e84f31586c967829866a2e4ad989e6807c54dfe224361b376741056ea5,M04,structured_replacement,S2,0.4,7777,lr|rf|catboost|lightgbm|tabm,5,efc01fc1f21b12e9a32b010e6bd8f5bf355e7c69e68b30e1aa463d9ed792bd96,953904f7ab3f8c850ff3,e243429ca221b8c86a0ef1a930ed7e8e2b68fed06e5bfd83ccb15d84afaa3552,df9f68aa8110a0236c495afe49b9d992b4f1de2e38a4d4bdc459eef07ae2ff77,1000,12,1,1,,,,NOT_COMPUTED_PRE_RUN,results/structured_prior_replacement_v1/task_bundles/panel_00.npz,2a764a00f2e75d2e982fca558d96bd9e83e6a7e546e414c1e625f54b92638a69
