dataset_index,mechanism,strength,seed,bundle_key,task_hash,split_hash,n_original,n_injected,n_leak,bundle_path,bundle_sha256,bundle_source,strict_policy
0,M01,S1,13,M01_S1_13,efd61f2cbbe6e9dda33d689d8d4cad7223fc73f0ac200d63696d8d1fd76c489f,df9f68aa8110a0236c495afe49b9d992b4f1de2e38a4d4bdc459eef07ae2ff77,12,1,1,results/corrected_v2/task_bundles/panel_00.npz,1e5c5baef227115e6f4d27894865f1a2e7e042f695ff803cb8fcbc20d3167b44,corrected_v2_base,"X[:, ~leakage_mask]"
0,M01,S1,42,M01_S1_42,10660fedb4b7ab112213bfed7cbad11962e6c27bb0804fadd2a6ba5ccfde4d09,df9f68aa8110a0236c495afe49b9d992b4f1de2e38a4d4bdc459eef07ae2ff77,12,1,1,results/corrected_v2/task_bundles/panel_00.npz,1e5c5baef227115e6f4d27894865f1a2e7e042f695ff803cb8fcbc20d3167b44,corrected_v2_base,"X[:, ~leakage_mask]"
0,M01,S1,2026,M01_S1_2026,210bc657d884a6a09e052f15bc7916317cbf7691fea9d4fa7dd64cf884d2481c,df9f68aa8110a0236c495afe49b9d992b4f1de2e38a4d4bdc459eef07ae2ff77,12,1,1,results/corrected_v2/task_bundles/panel_00.npz,1e5c5baef227115e6f4d27894865f1a2e7e042f695ff803cb8fcbc20d3167b44,corrected_v2_base,"X[:, ~leakage_mask]"
0,M01,S1,3407,M01_S1_3407,42b373ea4e549fc19874b2d6f40d757377fb551f3545c4052516f32d67b50a10,df9f68aa8110a0236c495afe49b9d992b4f1de2e38a4d4bdc459eef07ae2ff77,12,1,1,results/corrected_v2/task_bundles/panel_00.npz,1e5c5baef227115e6f4d27894865f1a2e7e042f695ff803cb8fcbc20d3167b44,corrected_v2_base,"X[:, ~leakage_mask]"
0,M01,S1,7777,M01_S1_7777,d60db2beb8d34efa43bf2056bbf42fd3fb6e97197632d703aef0a0e792b13bb3,df9f68aa8110a0236c495afe49b9d992b4f1de2e38a4d4bdc459eef07ae2ff77,12,1,1,results/corrected_v2/task_bundles/panel_00.npz,1e5c5baef227115e6f4d27894865f1a2e7e042f695ff803cb8fcbc20d3167b44,corrected_v2_base,"X[:, ~leakage_mask]"
0,M01,S2,13,M01_S2_13,04d1509cf07f8cfd4349b61109d44cad24b628e049d9c530305f7e8e74f6549c,df9f68aa8110a0236c495afe49b9d992b4f1de2e38a4d4bdc459eef07ae2ff77,12,1,1,results/corrected_v2/task_bundles/panel_00.npz,1e5c5baef227115e6f4d27894865f1a2e7e042f695ff803cb8fcbc20d3167b44,corrected_v2_base,"X[:, ~leakage_mask]"
0,M01,S2,42,M01_S2_42,5329ff5c72e23136aa142087ce824c10cd3c99098e079c3844b477a512c214f2,df9f68aa8110a0236c495afe49b9d992b4f1de2e38a4d4bdc459eef07ae2ff77,12,1,1,results/corrected_v2/task_bundles/panel_00.npz,1e5c5baef227115e6f4d27894865f1a2e7e042f695ff803cb8fcbc20d3167b44,corrected_v2_base,"X[:, ~leakage_mask]"
0,M01,S2,2026,M01_S2_2026,e565050e3c5fd9fdce3ee45a775c02ec0b47694deb9d53af6ea343ecfd1ed735,df9f68aa8110a0236c495afe49b9d992b4f1de2e38a4d4bdc459eef07ae2ff77,12,1,1,results/corrected_v2/task_bundles/panel_00.npz,1e5c5baef227115e6f4d27894865f1a2e7e042f695ff803cb8fcbc20d3167b44,corrected_v2_base,"X[:, ~leakage_mask]"
0,M01,S2,3407,M01_S2_3407,ede725bb2cf4f3e9cc00aff2191b88ef40f84dffb04780d5766e50db120b554b,df9f68aa8110a0236c495afe49b9d992b4f1de2e38a4d4bdc459eef07ae2ff77,12,1,1,results/corrected_v2/task_bundles/panel_00.npz,1e5c5baef227115e6f4d27894865f1a2e7e042f695ff803cb8fcbc20d3167b44,corrected_v2_base,"X[:, ~leakage_mask]"
0,M01,S2,7777,M01_S2_7777,18b5b87736091ea423baa3824c1893799c8d62a434d9e942bbf76116483f9107,df9f68aa8110a0236c495afe49b9d992b4f1de2e38a4d4bdc459eef07ae2ff77,12,1,1,results/corrected_v2/task_bundles/panel_00.npz,1e5c5baef227115e6f4d27894865f1a2e7e042f695ff803cb8fcbc20d3167b44,corrected_v2_base,"X[:, ~leakage_mask]"
0,M01,S3,13,M01_S3_13,d15614c8bc1c759ec2592f242984e555feb5a8b08a6e99ff80ac030f370f83cc,df9f68aa8110a0236c495afe49b9d992b4f1de2e38a4d4bdc459eef07ae2ff77,12,1,1,results/corrected_v2/task_bundles/panel_00.npz,1e5c5baef227115e6f4d27894865f1a2e7e042f695ff803cb8fcbc20d3167b44,corrected_v2_base,"X[:, ~leakage_mask]"
0,M01,S3,42,M01_S3_42,9ec95bf54adaa788328cc8ee61d18440ee583841b9234c58ff240735701eb71f,df9f68aa8110a0236c495afe49b9d992b4f1de2e38a4d4bdc459eef07ae2ff77,12,1,1,results/corrected_v2/task_bundles/panel_00.npz,1e5c5baef227115e6f4d27894865f1a2e7e042f695ff803cb8fcbc20d3167b44,corrected_v2_base,"X[:, ~leakage_mask]"
